inj_npoint,cd,mIoU
0,0.0,0.8522885496863419
20,0.40598676076436196,0.7737046713455991
40,0.7959543811180564,0.722777786396524
60,1.1832330060067895,0.6973132892905756
80,1.5602113735679302,0.674415537326124
100,1.9333489732827356,0.651774446982841
120,2.308298981325258,0.6335117769783927
140,2.6409337320792723,0.6155769426340199
160,3.0015906309524927,0.6039296068573097
180,3.3023381685659925,0.5920743464176463
200,3.665993799668274,0.5804636561012885
220,3.988524187431103,0.5728676564332233
240,4.307524178776463,0.5586689462703632
260,4.615393014446826,0.5498814381691217
